aX,aY,aZ,gX,gY,gZ
,,,,,
-0.761,-0.276,-1.526,58.289,-118.896,-47.058
-0.722,-0.296,-1.544,38.574,-121.765,-33.813
-0.709,-0.368,-1.493,21.423,-117.065,-20.935
-0.701,-0.452,-1.336,4.761,-101.685,-6.165
-0.630,-0.483,-1.162,-6.348,-71.594,10.864
-0.528,-0.556,-1.015,-8.240,-32.043,26.062
-0.413,-0.643,-0.889,-8.057,5.188,36.865
-0.316,-0.714,-0.772,-13.123,30.273,43.518
-0.234,-0.779,-0.643,-20.447,40.588,44.861
-0.176,-0.819,-0.535,-26.062,39.734,41.016
-0.152,-0.836,-0.479,-29.541,31.250,33.142
-0.163,-0.840,-0.461,-30.701,18.066,23.682
-0.186,-0.818,-0.500,-29.419,5.371,15.137
-0.227,-0.790,-0.580,-29.480,-5.127,8.057
-0.278,-0.741,-0.662,-31.067,-15.930,4.272
-0.334,-0.691,-0.760,-31.250,-21.423,4.150
-0.370,-0.680,-0.875,-33.569,-17.212,4.944
-0.386,-0.676,-0.940,-43.152,-8.911,7.690
-0.399,-0.649,-0.933,-59.021,-1.038,11.841
-0.411,-0.616,-0.869,-74.951,6.531,14.954
-0.435,-0.585,-0.797,-86.121,15.442,17.029
-0.455,-0.576,-0.745,-93.445,22.339,19.958
-0.453,-0.557,-0.675,-100.525,24.292,24.414
-0.451,-0.551,-0.594,-108.154,22.217,28.870
-0.455,-0.576,-0.517,-114.624,19.165,32.227
-0.472,-0.595,-0.431,-118.591,16.602,35.339
-0.472,-0.608,-0.361,-117.126,17.944,39.490
-0.458,-0.628,-0.323,-113.220,23.254,44.250
-0.417,-0.644,-0.293,-109.436,29.602,48.340
-0.394,-0.638,-0.253,-109.070,35.645,51.453
-0.374,-0.650,-0.243,-113.220,39.978,53.223
-0.359,-0.647,-0.220,-122.070,40.222,54.443
-0.360,-0.646,-0.135,-133.240,36.499,56.213
-0.337,-0.645,-0.054,-144.531,34.363,59.631
-0.323,-0.638,0.052,-154.968,32.715,63.293
-0.313,-0.634,0.199,-164.062,30.884,67.810
-0.296,-0.646,0.373,-172.546,31.311,74.097
-0.250,-0.692,0.516,-177.246,35.645,80.750
-0.203,-0.738,0.656,-174.805,43.335,86.060
-0.147,-0.786,0.774,-163.696,54.504,89.844
-0.045,-0.822,0.822,-147.888,66.711,91.125
0.040,-0.867,0.823,-131.470,74.646,86.609
0.070,-0.865,0.816,-117.615,74.646,76.660
0.059,-0.851,0.814,-106.079,67.139,65.796
0.049,-0.828,0.813,-98.022,55.176,57.983
0.050,-0.825,0.793,-93.933,42.297,53.101
0.050,-0.828,0.793,-92.407,29.846,48.523
0.029,-0.806,0.864,-90.027,22.156,45.776
0.034,-0.817,0.903,-85.754,25.879,46.387
0.079,-0.881,0.907,-79.590,35.889,48.889
0.141,-0.940,0.908,-72.205,46.082,51.208
0.205,-0.981,0.918,-65.796,54.077,49.927
0.224,-0.990,0.948,-62.134,57.495,44.678
0.214,-0.997,0.982,-57.678,55.359,38.391
0.209,-1.011,0.997,-50.537,48.279,33.020
0.205,-1.036,0.985,-42.725,38.574,27.405
0.185,-1.074,0.999,-36.377,28.625,20.264
0.159,-1.098,1.062,-33.142,24.414,13.916
0.156,-1.099,1.064,-30.945,28.015,10.010
0.147,-1.096,0.958,-23.621,24.719,5.432
0.106,-1.066,0.832,-11.597,5.859,-1.038
0.024,-1.044,0.730,-1.099,-15.869,-8.545
-0.026,-0.987,0.627,3.906,-27.954,-15.137
-0.064,-0.944,0.532,6.470,-31.677,-18.677
-0.090,-0.912,0.453,7.690,-32.532,-20.142
-0.111,-0.878,0.396,5.798,-32.654,-19.897
-0.128,-0.847,0.372,1.465,-32.654,-17.151
-0.139,-0.830,0.383,-4.089,-31.250,-12.268
-0.131,-0.825,0.416,-8.423,-25.940,-5.981
-0.108,-0.832,0.439,-10.132,-17.517,-0.427
-0.080,-0.833,0.457,-10.071,-8.972,3.662
-0.061,-0.835,0.469,-9.460,-3.113,5.249
-0.051,-0.829,0.481,-9.338,-0.977,4.761
-0.054,-0.823,0.501,-10.010,-1.892,3.845
-0.048,-0.827,0.520,-10.071,-3.540,3.235
-0.035,-0.837,0.535,-9.338,-4.089,3.479
-0.023,-0.850,0.536,-8.301,-3.418,3.174
-0.005,-0.867,0.532,-6.653,-3.601,3.174
0.003,-0.876,0.522,-5.920,-4.333,2.502
0.005,-0.876,0.509,-4.761,-4.944,0.977
-0.009,-0.862,0.502,-3.540,-4.700,-0.549
-0.021,-0.853,0.489,-2.686,-3.296,-0.549
-0.017,-0.860,0.469,-2.319,-1.282,0.244
-0.013,-0.864,0.472,-4.333,-0.305,0.549
-0.023,-0.873,0.496,-6.836,-0.610,-0.061
-0.028,-0.880,0.513,-7.935,-1.221,-0.671
-0.027,-0.888,0.523,-8.179,-1.343,-0.977
-0.029,-0.894,0.533,-8.423,-1.770,-1.770
-0.036,-0.896,0.545,-8.728,-2.686,-3.296
-0.037,-0.897,0.550,-8.484,-3.601,-4.883
-0.039,-0.897,0.543,-8.606,-5.859,-6.348
-0.047,-0.887,0.549,-9.216,-10.498,-7.019
-0.055,-0.875,0.553,-10.132,-15.564,-7.568
-0.066,-0.865,0.553,-10.498,-19.470,-8.118
-0.075,-0.865,0.554,-9.888,-21.790,-7.690
-0.070,-0.861,0.542,-8.118,-21.912,-6.714
-0.067,-0.859,0.526,-6.226,-20.935,-6.653
-0.070,-0.847,0.510,-4.700,-18.616,-7.019
-0.083,-0.837,0.490,-3.174,-15.442,-6.897
-0.087,-0.834,0.469,-2.136,-11.597,-5.615
-0.080,-0.829,0.460,-2.563,-7.141,-4.028
-0.081,-0.829,0.471,-3.540,-3.479,-3.296
-0.091,-0.822,0.498,-4.761,-0.916,-2.747
-0.102,-0.821,0.517,-5.249,1.343,-2.136
-0.113,-0.826,0.534,-5.188,2.808,-1.404
-0.112,-0.829,0.548,-4.578,3.967,-0.366
-0.104,-0.838,0.554,-3.723,4.578,0.000
-0.107,-0.835,0.566,-3.479,4.211,-0.244
-0.115,-0.833,0.571,-2.502,3.601,-0.366
-0.110,-0.833,0.564,-1.282,2.380,0.427
-0.104,-0.833,0.564,-1.221,0.183,0.854
-0.100,-0.836,0.560,-1.953,-1.648,0.549
-0.095,-0.836,0.559,-2.747,-3.540,0.305
-0.091,-0.836,0.562,-3.235,-5.432,-0.427
-0.094,-0.833,0.562,-3.662,-6.897,-1.282
-0.107,-0.821,0.568,-3.601,-8.240,-1.831
-0.108,-0.818,0.556,-2.563,-8.484,-1.465
-0.099,-0.819,0.531,-2.014,-7.935,-0.854
-0.097,-0.827,0.519,-3.174,-8.057,-0.793
,,,,,
0.246,-0.962,1.536,43.701,9.949,-2.075
0.278,-1.035,1.510,53.467,9.644,-10.376
0.317,-1.033,1.537,64.636,0.488,-22.400
0.305,-1.000,1.588,74.280,-11.597,-35.583
0.253,-0.989,1.526,84.412,-22.217,-49.988
0.194,-0.924,1.438,102.539,-36.621,-60.791
0.127,-0.857,1.389,128.845,-50.354,-65.552
0.099,-0.809,1.189,155.457,-50.598,-66.772
0.077,-0.764,1.015,178.833,-43.701,-68.054
0.033,-0.719,0.865,192.993,-33.325,-68.787
-0.002,-0.691,0.630,198.975,-21.362,-70.984
-0.074,-0.663,0.448,201.599,-15.442,-75.500
-0.162,-0.598,0.400,197.021,-14.771,-77.087
-0.234,-0.554,0.313,187.195,-11.047,-74.646
-0.276,-0.543,0.323,183.533,-5.249,-69.885
-0.284,-0.522,0.371,186.035,6.348,-61.707
-0.237,-0.572,0.199,189.209,20.874,-58.350
-0.258,-0.604,0.104,193.481,16.846,-62.988
-0.298,-0.554,0.048,195.679,0.305,-68.481
-0.320,-0.495,-0.047,194.092,-16.541,-75.623
-0.360,-0.456,-0.187,189.758,-35.767,-83.801
-0.394,-0.397,-0.276,184.631,-58.838,-89.233
-0.430,-0.347,-0.356,179.443,-79.407,-90.881
-0.454,-0.357,-0.546,174.988,-95.154,-91.492
-0.478,-0.347,-0.803,171.265,-111.450,-90.820
-0.510,-0.298,-1.078,161.011,-130.493,-87.830
-0.578,-0.261,-1.256,142.883,-151.306,-81.726
-0.614,-0.286,-1.435,120.361,-163.513,-70.557
-0.588,-0.308,-1.618,98.816,-169.861,-54.993
-0.552,-0.325,-1.713,81.421,-174.500,-39.307
-0.508,-0.342,-1.795,66.162,-170.166,-25.513
-0.462,-0.390,-1.829,49.622,-154.541,-15.442
-0.435,-0.458,-1.744,29.907,-131.104,-5.798
-0.419,-0.488,-1.563,13.733,-100.586,6.348
-0.386,-0.535,-1.341,7.874,-62.012,19.287
-0.319,-0.605,-1.173,7.629,-20.264,30.396
-0.250,-0.651,-1.023,5.554,14.038,39.185
-0.206,-0.701,-0.882,-2.075,38.208,43.274
-0.188,-0.739,-0.743,-11.902,52.917,44.250
-0.169,-0.771,-0.640,-18.250,61.096,42.969
-0.141,-0.788,-0.593,-21.973,64.331,39.612
-0.123,-0.799,-0.594,-24.963,59.875,33.508
-0.131,-0.806,-0.624,-28.992,48.462,25.146
-0.146,-0.809,-0.655,-36.316,33.447,15.991
-0.177,-0.788,-0.663,-47.180,17.090,8.423
-0.213,-0.751,-0.666,-55.054,3.601,3.235
-0.248,-0.719,-0.683,-57.861,-3.296,0.793
-0.274,-0.687,-0.718,-58.960,-3.967,1.892
-0.315,-0.672,-0.748,-60.974,-0.610,5.981
-0.333,-0.659,-0.760,-64.941,6.653,12.573
-0.340,-0.652,-0.755,-72.021,16.602,20.569
-0.324,-0.654,-0.714,-81.726,26.123,27.100
-0.312,-0.650,-0.637,-91.858,34.607,31.067
-0.302,-0.649,-0.563,-100.830,41.321,31.982
-0.324,-0.633,-0.480,-107.361,45.532,31.738
-0.356,-0.641,-0.400,-109.863,48.645,34.058
-0.351,-0.637,-0.330,-109.436,54.199,40.039
-0.323,-0.662,-0.294,-108.521,62.622,46.387
-0.278,-0.710,-0.270,-109.375,70.374,49.683
-0.249,-0.734,-0.219,-112.122,74.829,49.561
-0.248,-0.722,-0.163,-115.356,76.965,48.096
-0.241,-0.713,-0.131,-119.019,75.745,48.096
-0.231,-0.716,-0.070,-125.671,67.871,48.828
-0.213,-0.717,0.048,-133.850,59.753,49.255
-0.177,-0.742,0.148,-140.747,59.631,48.523
-0.150,-0.747,0.255,-143.982,64.819,47.058
-0.123,-0.741,0.411,-142.700,72.327,47.729
-0.080,-0.759,0.526,-141.296,82.458,52.063
-0.039,-0.774,0.631,-141.418,89.905,56.091
-0.038,-0.815,0.719,-138.428,89.294,60.059
-0.017,-0.860,0.791,-133.240,80.078,64.636
0.029,-0.899,0.818,-126.648,66.223,67.505
0.064,-0.921,0.828,-119.202,49.866,64.453
0.048,-0.915,0.839,-109.375,33.630,56.763
0.006,-0.898,0.815,-96.802,23.987,49.500
-0.020,-0.880,0.770,-84.412,22.095,46.448
-0.006,-0.875,0.731,-76.233,26.794,48.096
0.031,-0.898,0.711,-73.364,35.339,50.476
0.089,-0.930,0.729,-74.341,44.922,51.880
0.117,-0.971,0.793,-75.195,52.002,50.537
0.128,-0.975,0.870,-69.336,60.547,48.889
0.153,-1.001,0.915,-56.396,73.975,48.279
0.203,-1.058,0.993,-46.692,88.623,48.279
0.273,-1.133,1.068,-47.424,102.539,47.974
0.332,-1.195,1.039,-50.598,104.248,42.480
0.330,-1.175,0.990,-44.006,78.979,28.809
0.227,-1.122,0.974,-28.442,35.767,10.742
0.107,-1.096,0.875,-15.869,-1.892,-4.211
0.027,-1.025,0.764,-9.766,-24.658,-12.024
-0.026,-0.995,0.636,-6.165,-37.964,-14.221
-0.060,-0.981,0.529,-4.822,-47.729,-13.672
-0.082,-0.964,0.456,-4.578,-52.002,-12.085
-0.093,-0.935,0.401,-3.113,-47.791,-9.583
-0.087,-0.908,0.337,-0.549,-36.316,-6.653
-0.075,-0.885,0.285,-0.610,-23.804,-3.479
-0.066,-0.861,0.278,-5.554,-14.709,-0.244
-0.070,-0.848,0.312,-11.658,-9.399,3.235
-0.053,-0.844,0.364,-15.564,-7.324,7.080
-0.031,-0.853,0.417,-16.602,-6.348,10.498
0.008,-0.879,0.447,-15.381,-4.639,12.695
0.045,-0.892,0.464,-13.672,-1.709,13.245
0.056,-0.890,0.483,-12.573,0.610,11.475
0.052,-0.890,0.501,-12.451,1.587,9.521
0.053,-0.895,0.508,-12.329,1.404,8.789
0.061,-0.903,0.511,-11.597,0.671,7.507
0.053,-0.896,0.513,-11.353,-0.916,4.822
0.033,-0.889,0.510,-11.353,-3.052,2.563
0.019,-0.888,0.503,-11.414,-5.005,1.892
0.013,-0.890,0.501,-11.230,-6.287,1.343
0.002,-0.893,0.500,-10.803,-6.775,0.488
0.000,-0.892,0.497,-8.667,-6.287,-0.183
-0.005,-0.889,0.485,-6.897,-4.944,-0.488
-0.010,-0.887,0.482,-7.507,-4.456,-0.122
-0.013,-0.888,0.497,-9.155,-5.676,0.488
-0.010,-0.898,0.509,-9.888,-7.385,0.671
-0.010,-0.901,0.524,-9.705,-9.033,0.366
-0.010,-0.907,0.529,-9.277,-10.986,-0.549
-0.014,-0.901,0.526,-8.057,-11.963,-1.526
-0.021,-0.892,0.517,-6.653,-12.024,-1.892
,,,,,
0.314,-1.021,1.311,45.227,9.888,-5.005
0.325,-1.025,1.343,58.044,3.784,-11.658
0.338,-1.006,1.376,73.181,-1.099,-17.578
0.361,-1.011,1.291,90.759,-1.343,-25.757
0.371,-0.968,1.290,106.812,-2.808,-35.706
0.341,-0.945,1.278,116.882,-4.089,-44.556
0.305,-0.965,1.191,125.000,-5.615,-53.345
0.262,-0.940,1.140,136.902,-10.315,-62.195
0.219,-0.909,1.068,151.367,-10.498,-69.946
0.192,-0.897,0.881,166.199,-6.836,-78.247
0.135,-0.838,0.757,181.519,-9.705,-87.097
0.074,-0.746,0.691,193.848,-14.343,-93.994
-0.011,-0.719,0.535,200.256,-15.564,-99.060
-0.095,-0.703,0.372,204.224,-20.508,-100.342
-0.163,-0.652,0.305,207.520,-28.076,-97.473
-0.201,-0.622,0.219,207.214,-31.799,-92.285
-0.200,-0.630,0.126,201.843,-33.142,-87.952
-0.214,-0.624,0.081,192.993,-35.278,-84.534
-0.222,-0.630,0.058,183.533,-37.903,-82.336
-0.223,-0.637,-0.016,178.467,-42.114,-81.848
-0.247,-0.621,-0.107,178.833,-50.537,-85.388
-0.277,-0.580,-0.212,181.885,-62.744,-90.454
-0.292,-0.536,-0.353,183.960,-75.073,-96.436
-0.311,-0.497,-0.522,183.777,-89.905,-102.966
-0.344,-0.447,-0.684,180.847,-108.093,-109.924
-0.381,-0.386,-0.860,173.096,-125.977,-115.906
-0.415,-0.319,-1.073,160.461,-145.874,-120.789
-0.457,-0.223,-1.295,144.043,-172.485,-122.253
-0.542,-0.125,-1.491,123.108,-201.599,-116.394
-0.630,-0.141,-1.545,98.999,-221.619,-104.126
-0.588,-0.070,-1.752,80.200,-221.375,-83.252
-0.568,-0.109,-1.810,54.871,-209.412,-64.270
-0.557,-0.221,-1.760,27.039,-188.354,-47.913
-0.487,-0.280,-1.705,11.292,-152.954,-28.381
-0.440,-0.316,-1.602,5.859,-108.643,-9.644
-0.364,-0.396,-1.520,2.563,-58.044,5.066
-0.287,-0.463,-1.383,-5.554,-13.184,18.433
-0.244,-0.513,-1.194,-17.944,19.043,27.893
-0.201,-0.577,-1.012,-28.870,41.687,33.264
-0.167,-0.633,-0.860,-36.682,57.434,36.194
-0.144,-0.673,-0.733,-41.626,66.528,36.926
-0.119,-0.702,-0.658,-42.786,71.228,35.217
-0.092,-0.732,-0.628,-43.335,71.533,32.410
-0.079,-0.747,-0.622,-46.814,65.613,26.917
-0.085,-0.745,-0.615,-51.697,54.260,20.081
-0.105,-0.736,-0.622,-56.824,40.161,12.878
-0.135,-0.729,-0.646,-60.913,27.893,6.409
-0.158,-0.716,-0.679,-64.026,19.165,2.563
-0.182,-0.695,-0.718,-67.810,13.672,1.282
-0.218,-0.672,-0.720,-73.914,10.559,0.732
-0.255,-0.647,-0.685,-81.238,11.963,1.770
-0.283,-0.635,-0.652,-87.830,20.203,3.906
-0.312,-0.635,-0.625,-93.506,32.288,6.470
-0.336,-0.641,-0.572,-98.267,43.457,10.193
-0.355,-0.630,-0.512,-102.905,51.941,13.916
-0.382,-0.626,-0.452,-105.957,58.167,17.456
-0.396,-0.616,-0.392,-108.337,62.317,22.461
-0.389,-0.620,-0.337,-113.220,62.927,28.442
-0.387,-0.645,-0.288,-120.239,60.730,32.898
-0.382,-0.686,-0.238,-125.427,58.105,35.583
-0.373,-0.700,-0.169,-129.761,57.495,38.208
-0.358,-0.710,-0.112,-133.057,59.570,41.626
-0.348,-0.738,-0.060,-135.132,63.110,44.128
-0.323,-0.756,0.004,-135.620,69.153,47.363
-0.279,-0.781,0.050,-134.827,78.735,50.232
-0.263,-0.745,0.137,-132.202,89.050,52.124
-0.292,-0.712,0.247,-126.526,100.647,56.641
-0.272,-0.738,0.301,-121.216,113.708,66.711
-0.208,-0.778,0.325,-118.713,122.742,78.735
-0.125,-0.811,0.372,-120.483,123.840,86.487
-0.052,-0.848,0.431,-124.207,118.958,87.463
-0.002,-0.888,0.486,-128.479,108.521,82.703
0.015,-0.921,0.583,-130.066,94.116,74.036
0.035,-0.924,0.678,-125.671,84.595,64.514
0.041,-0.923,0.703,-114.868,81.360,55.115
0.035,-0.919,0.691,-99.792,79.590,48.462
0.031,-0.895,0.652,-86.243,75.562,46.692
0.046,-0.891,0.588,-81.482,67.932,47.058
0.052,-0.881,0.570,-84.900,54.504,47.363
0.039,-0.874,0.596,-90.149,40.039,47.424
0.042,-0.867,0.629,-92.651,29.358,48.157
0.036,-0.905,0.638,-91.675,21.851,48.279
0.046,-0.936,0.650,-87.646,17.334,47.668
0.058,-0.951,0.683,-80.933,18.311,45.471
0.067,-0.977,0.831,-75.806,27.649,42.603
0.125,-1.025,1.100,-79.102,53.406,45.166
0.241,-1.098,1.076,-85.144,89.233,50.415
0.306,-1.098,0.934,-74.951,94.910,46.631
0.257,-1.046,0.944,-49.438,62.134,33.447
0.160,-1.037,0.853,-27.405,28.625,19.043
0.129,-0.998,0.720,-19.165,11.047,9.216
0.086,-0.948,0.598,-19.714,-2.380,4.395
0.041,-0.935,0.502,-24.902,-18.188,0.671
-0.005,-0.908,0.449,-33.142,-32.837,-1.282
-0.046,-0.881,0.437,-41.199,-42.053,-1.831
-0.080,-0.854,0.453,-47.363,-44.312,-0.427
-0.092,-0.849,0.472,-48.401,-38.574,3.906
-0.089,-0.849,0.481,-44.922,-26.611,9.583
-0.061,-0.847,0.463,-37.903,-10.986,14.343
-0.019,-0.845,0.424,-31.433,1.953,16.907
0.003,-0.841,0.421,-29.480,8.545,17.090
0.003,-0.825,0.483,-31.616,9.644,16.296
0.007,-0.827,0.554,-33.875,12.268,16.846
0.034,-0.839,0.614,-33.875,17.212,18.738
0.067,-0.846,0.645,-31.433,22.156,20.447
0.085,-0.844,0.661,-28.931,23.071,19.653
0.081,-0.840,0.681,-28.503,18.433,17.700
0.081,-0.835,0.700,-29.358,10.315,15.991
0.084,-0.844,0.718,-29.785,1.587,13.794
0.086,-0.849,0.727,-29.602,-5.310,11.292
0.082,-0.840,0.732,-28.015,-10.742,8.606
0.069,-0.830,0.733,-25.513,-14.465,6.165
0.061,-0.817,0.715,-21.118,-14.465,4.822
0.067,-0.801,0.687,-15.747,-11.108,4.700
0.072,-0.795,0.653,-12.390,-7.629,4.639
0.068,-0.795,0.641,-11.841,-6.531,4.333
0.062,-0.790,0.633,-12.451,-6.531,4.700
0.062,-0.796,0.642,-13.245,-6.897,6.226
0.077,-0.806,0.652,-13.184,-5.920,8.057
,,,,,
0.460,-1.143,1.244,-109.436,137.207,63.721
0.493,-1.114,1.217,-91.003,117.676,46.326
0.374,-1.016,1.278,-61.523,63.171,23.437
0.237,-0.996,1.181,-37.842,17.883,4.944
0.165,-0.981,0.998,-25.391,-8.301,-3.723
0.126,-0.942,0.833,-21.973,-30.457,-6.165
0.081,-0.925,0.711,-24.658,-52.551,-9.033
0.036,-0.902,0.637,-28.076,-66.162,-11.169
-0.001,-0.865,0.593,-30.029,-65.552,-10.681
-0.019,-0.840,0.563,-29.602,-53.101,-7.812
-0.026,-0.805,0.548,-26.245,-34.973,-3.174
-0.014,-0.789,0.528,-20.508,-14.648,1.343
0.013,-0.786,0.510,-14.832,1.892,6.165
0.039,-0.786,0.529,-13.000,11.292,9.338
0.065,-0.808,0.579,-14.343,14.099,11.230
0.096,-0.836,0.646,-17.090,13.428,12.451
0.107,-0.853,0.727,-18.799,11.902,11.963
0.109,-0.864,0.784,-17.395,11.047,10.437
0.107,-0.871,0.820,-13.489,9.949,8.606
0.104,-0.870,0.823,-9.460,7.507,5.981
0.102,-0.868,0.804,-5.737,3.113,3.174
0.100,-0.868,0.775,-2.747,-4.028,0.427
0.089,-0.868,0.735,-0.427,-12.207,-2.258
0.072,-0.860,0.698,1.831,-18.921,-4.944
0.061,-0.843,0.647,4.639,-22.644,-6.531
0.045,-0.828,0.592,6.531,-24.475,-7.019
0.028,-0.825,0.548,7.507,-25.085,-6.287
0.029,-0.816,0.510,7.690,-23.865,-4.822
0.031,-0.816,0.477,6.592,-20.386,-4.028
0.031,-0.816,0.459,4.150,-15.503,-3.967
0.022,-0.810,0.472,0.854,-11.414,-3.418
0.016,-0.812,0.499,-2.014,-7.751,-2.991
0.016,-0.820,0.529,-3.540,-4.395,-2.502
0.021,-0.824,0.562,-4.395,-2.563,-2.197
0.019,-0.829,0.591,-5.188,-2.319,-2.563
0.014,-0.822,0.622,-5.005,-3.418,-2.502
0.007,-0.827,0.641,-3.723,-5.615,-2.441
0.011,-0.827,0.638,-1.587,-8.057,-2.319
0.012,-0.830,0.622,0.732,-8.972,-3.174
0.005,-0.826,0.611,1.892,-9.216,-4.822
-0.002,-0.820,0.604,2.136,-9.094,-5.859
-0.008,-0.820,0.592,2.747,-8.972,-5.554
-0.009,-0.818,0.579,3.113,-8.972,-4.761
0.000,-0.827,0.562,3.601,-8.057,-3.906
0.012,-0.833,0.556,3.479,-6.348,-3.540
0.009,-0.822,0.560,3.052,-4.517,-3.967
-0.005,-0.820,0.554,3.723,-2.686,-3.662
0.008,-0.824,0.539,4.578,-1.099,-2.014
0.019,-0.819,0.549,3.418,-1.099,-1.343
0.012,-0.826,0.570,1.526,-2.075,-1.892
0.006,-0.820,0.592,0.977,-2.563,-2.625
0.001,-0.813,0.605,2.014,-2.380,-3.479
-0.002,-0.806,0.606,3.357,-2.747,-3.418
-0.005,-0.813,0.602,3.174,-4.700,-3.418
-0.011,-0.811,0.605,1.404,-7.751,-3.662
-0.026,-0.806,0.600,0.671,-10.254,-4.211
-0.036,-0.800,0.581,0.488,-11.963,-3.906
-0.036,-0.803,0.567,1.282,-12.146,-2.930
-0.034,-0.801,0.561,2.563,-10.681,-2.441
-0.042,-0.791,0.559,3.357,-8.484,-2.136
-0.042,-0.792,0.547,5.005,-5.554,-1.343
-0.034,-0.791,0.532,5.615,-2.136,-0.244
-0.028,-0.796,0.532,3.906,-0.366,0.549
-0.024,-0.803,0.549,1.343,0.000,1.404
-0.022,-0.812,0.570,-0.305,-0.122,1.526
-0.018,-0.824,0.587,-0.793,-0.366,1.221
-0.016,-0.819,0.597,-0.183,-1.038,0.549
-0.020,-0.822,0.594,0.977,-1.770,-0.244
-0.019,-0.822,0.588,1.465,-2.869,-0.671
-0.020,-0.819,0.582,1.953,-3.479,-0.427
-0.016,-0.820,0.571,2.686,-3.479,-0.305
-0.014,-0.817,0.559,3.357,-3.174,-0.122
-0.013,-0.820,0.550,3.296,-3.052,0.122
-0.010,-0.815,0.551,2.014,-3.723,0.122
-0.023,-0.809,0.558,0.916,-4.272,0.122
-0.023,-0.806,0.555,0.793,-3.052,1.099
-0.015,-0.811,0.552,0.732,-1.282,2.563
-0.006,-0.819,0.561,-0.183,-0.427,3.113
-0.009,-0.822,0.575,-0.854,-0.366,2.991
-0.012,-0.822,0.585,-0.427,-0.549,2.747
-0.010,-0.825,0.587,0.488,-0.488,3.174
-0.004,-0.836,0.587,0.671,-0.610,3.296
0.000,-0.844,0.588,0.549,-0.977,2.441
0.001,-0.845,0.594,0.977,-1.770,1.099
-0.004,-0.845,0.589,1.953,-2.197,-0.183
-0.007,-0.837,0.584,2.930,-2.258,-0.916
-0.006,-0.822,0.579,3.967,-2.380,-1.038
-0.015,-0.817,0.568,4.150,-2.808,-1.221
-0.018,-0.810,0.559,3.845,-3.235,-1.038
-0.015,-0.809,0.552,3.296,-3.052,-0.732
-0.013,-0.806,0.552,2.136,-3.235,-0.671
-0.013,-0.808,0.557,1.038,-3.113,-0.427
-0.015,-0.810,0.562,0.366,-2.869,-0.305
-0.014,-0.814,0.572,0.061,-2.441,0.000
-0.013,-0.816,0.582,0.305,-1.465,0.000
-0.011,-0.823,0.586,1.221,-0.427,0.000
-0.008,-0.827,0.583,1.770,0.000,-0.244
-0.003,-0.831,0.581,2.319,-0.183,-0.549
-0.007,-0.829,0.580,2.502,-0.732,-1.160
-0.015,-0.822,0.578,2.808,-1.160,-1.587
-0.023,-0.818,0.574,2.625,-1.709,-1.282
-0.027,-0.818,0.564,2.075,-2.380,-0.916
-0.028,-0.816,0.561,1.526,-3.174,-0.671
-0.036,-0.816,0.567,1.038,-3.723,-0.488
-0.034,-0.816,0.572,1.099,-3.845,-0.122
-0.032,-0.812,0.579,1.221,-3.784,0.000
-0.041,-0.804,0.579,1.587,-3.601,-0.305
-0.039,-0.803,0.565,2.563,-2.869,0.366
-0.028,-0.806,0.554,2.380,-1.892,1.526
-0.015,-0.823,0.550,1.526,-1.465,2.075
-0.008,-0.820,0.571,0.977,-1.282,1.709
-0.010,-0.817,0.587,0.916,-0.854,0.854
-0.006,-0.821,0.581,1.831,-0.610,0.671
0.001,-0.825,0.569,2.197,-0.366,0.732
